[2023-09-28 19:04:15.537464] [gNB 3][rsc 0][Rx 0][sfn 376][slot 5] DL PRS ToA ==> 12.0 / 4096 samples, peak channel power -59.5 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-28 19:04:15.542728] [gNB 0][rsc 0][Rx 0][sfn 377][slot 2] DL PRS ToA ==> 6.5 / 4096 samples, peak channel power -50.0 dBm, SNR -2622080.2 dB, rsrp -76.5 dBm

[2023-09-28 19:04:15.543201] [gNB 1][rsc 0][Rx 0][sfn 377][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.4 dBm

[2023-09-28 19:04:15.543646] [gNB 2][rsc 0][Rx 0][sfn 377][slot 4] DL PRS ToA ==> 8.5 / 4096 samples, peak channel power -56.8 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-28 19:04:15.544177] [gNB 3][rsc 0][Rx 0][sfn 377][slot 5] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -59.4 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-28 19:04:15.549433] [gNB 0][rsc 0][Rx 0][sfn 378][slot 2] DL PRS ToA ==> 6.5 / 4096 samples, peak channel power -52.2 dBm, SNR -2622080.2 dB, rsrp -76.5 dBm

[2023-09-28 19:04:15.549897] [gNB 1][rsc 0][Rx 0][sfn 378][slot 3] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-28 19:04:15.550338] [gNB 2][rsc 0][Rx 0][sfn 378][slot 4] DL PRS ToA ==> 9.0 / 4096 samples, peak channel power -57.0 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-28 19:04:15.551623] [gNB 3][rsc 0][Rx 0][sfn 378][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.5 dBm

[2023-09-28 19:04:15.556054] [gNB 0][rsc 0][Rx 0][sfn 379][slot 2] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -51.2 dBm, SNR -2622080.2 dB, rsrp -76.5 dBm

[2023-09-28 19:04:15.556519] [gNB 1][rsc 0][Rx 0][sfn 379][slot 3] DL PRS ToA ==> 4.5 / 4096 samples, peak channel power -59.7 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-28 19:04:15.556958] [gNB 2][rsc 0][Rx 0][sfn 379][slot 4] DL PRS ToA ==> 6.0 / 4096 samples, peak channel power -56.8 dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

[2023-09-28 19:04:15.557399] [gNB 3][rsc 0][Rx 0][sfn 379][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-28 19:04:15.562739] [gNB 0][rsc 0][Rx 0][sfn 380][slot 2] DL PRS ToA ==> 3.0 / 4096 samples, peak channel power -50.8 dBm, SNR -2622080.2 dB, rsrp -76.4 dBm

