[2023-09-29 10:20:31.523312] [gNB 1][rsc 0][Rx 0][sfn 714][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 10:20:31.523665] [gNB 2][rsc 0][Rx 0][sfn 714][slot 4] DL PRS ToA ==> -25.5 / 4096 samples, peak channel power -60.9 dBm, SNR +4.0 dB, rsrp -80.5 dBm

[2023-09-29 10:20:31.524047] [gNB 3][rsc 0][Rx 0][sfn 714][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.8 dBm

[2023-09-29 10:20:31.529570] [gNB 0][rsc 0][Rx 0][sfn 715][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.6 dBm

[2023-09-29 10:20:31.529931] [gNB 1][rsc 0][Rx 0][sfn 715][slot 3] DL PRS ToA ==> -25.2 / 4096 samples, peak channel power -63.6 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 10:20:31.530299] [gNB 2][rsc 0][Rx 0][sfn 715][slot 4] DL PRS ToA ==> -25.8 / 4096 samples, peak channel power -61.0 dBm, SNR +4.0 dB, rsrp -80.4 dBm

[2023-09-29 10:20:31.530656] [gNB 3][rsc 0][Rx 0][sfn 715][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -83.2 dBm

[2023-09-29 10:20:31.536254] [gNB 0][rsc 0][Rx 0][sfn 716][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.4 dBm

[2023-09-29 10:20:31.536609] [gNB 1][rsc 0][Rx 0][sfn 716][slot 3] DL PRS ToA ==> -25.5 / 4096 samples, peak channel power -63.8 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 10:20:31.536959] [gNB 2][rsc 0][Rx 0][sfn 716][slot 4] DL PRS ToA ==> -26.0 / 4096 samples, peak channel power -61.0 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:20:31.537310] [gNB 3][rsc 0][Rx 0][sfn 716][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -83.9 dBm

[2023-09-29 10:20:31.542958] [gNB 0][rsc 0][Rx 0][sfn 717][slot 2] DL PRS ToA ==> -25.5 / 4096 samples, peak channel power -58.5 dBm, SNR -2622080.2 dB, rsrp -79.4 dBm

[2023-09-29 10:20:31.543313] [gNB 1][rsc 0][Rx 0][sfn 717][slot 3] DL PRS ToA ==> -25.8 / 4096 samples, peak channel power -63.6 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-29 10:20:31.543660] [gNB 2][rsc 0][Rx 0][sfn 717][slot 4] DL PRS ToA ==> -26.2 / 4096 samples, peak channel power -61.0 dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.544018] [gNB 3][rsc 0][Rx 0][sfn 717][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 10:20:31.549563] [gNB 0][rsc 0][Rx 0][sfn 718][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -79.5 dBm

[2023-09-29 10:20:31.549919] [gNB 1][rsc 0][Rx 0][sfn 718][slot 3] DL PRS ToA ==> -26.0 / 4096 samples, peak channel power -63.8 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-29 10:20:31.550270] [gNB 2][rsc 0][Rx 0][sfn 718][slot 4] DL PRS ToA ==> -26.6 / 4096 samples, peak channel power -61.0 dBm, SNR -2622080.2 dB, rsrp -80.7 dBm

[2023-09-29 10:20:31.550623] [gNB 3][rsc 0][Rx 0][sfn 718][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.8 dBm

[2023-09-29 10:20:31.556254] [gNB 0][rsc 0][Rx 0][sfn 719][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -79.3 dBm

[2023-09-29 10:20:31.556609] [gNB 1][rsc 0][Rx 0][sfn 719][slot 3] DL PRS ToA ==> -26.2 / 4096 samples, peak channel power -63.6 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-29 10:20:31.556964] [gNB 2][rsc 0][Rx 0][sfn 719][slot 4] DL PRS ToA ==> -26.9 / 4096 samples, peak channel power -61.0 dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.557315] [gNB 3][rsc 0][Rx 0][sfn 719][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.5 dBm

[2023-09-29 10:20:31.562956] [gNB 0][rsc 0][Rx 0][sfn 720][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -79.6 dBm

[2023-09-29 10:20:31.563310] [gNB 1][rsc 0][Rx 0][sfn 720][slot 3] DL PRS ToA ==> -26.5 / 4096 samples, peak channel power -63.7 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-29 10:20:31.563659] [gNB 2][rsc 0][Rx 0][sfn 720][slot 4] DL PRS ToA ==> -27.1 / 4096 samples, peak channel power -61.0 dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.565341] [gNB 3][rsc 0][Rx 0][sfn 720][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 10:20:31.569567] [gNB 0][rsc 0][Rx 0][sfn 721][slot 2] DL PRS ToA ==> -26.5 / 4096 samples, peak channel power -58.4 dBm, SNR -2622080.2 dB, rsrp -79.1 dBm

[2023-09-29 10:20:31.569944] [gNB 1][rsc 0][Rx 0][sfn 721][slot 3] DL PRS ToA ==> -26.8 / 4096 samples, peak channel power -63.5 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-29 10:20:31.570305] [gNB 2][rsc 0][Rx 0][sfn 721][slot 4] DL PRS ToA ==> -27.4 / 4096 samples, peak channel power -60.9 dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.570656] [gNB 3][rsc 0][Rx 0][sfn 721][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.5 dBm

[2023-09-29 10:20:31.576268] [gNB 0][rsc 0][Rx 0][sfn 722][slot 2] DL PRS ToA ==> -26.8 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -79.4 dBm

[2023-09-29 10:20:31.576638] [gNB 1][rsc 0][Rx 0][sfn 722][slot 3] DL PRS ToA ==> -27.0 / 4096 samples, peak channel power -63.6 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-29 10:20:31.576990] [gNB 2][rsc 0][Rx 0][sfn 722][slot 4] DL PRS ToA ==> -27.6 / 4096 samples, peak channel power -60.9 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:20:31.577343] [gNB 3][rsc 0][Rx 0][sfn 722][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 10:20:31.582893] [gNB 0][rsc 0][Rx 0][sfn 723][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -79.3 dBm

[2023-09-29 10:20:31.583247] [gNB 1][rsc 0][Rx 0][sfn 723][slot 3] DL PRS ToA ==> -27.2 / 4096 samples, peak channel power -63.6 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-29 10:20:31.583598] [gNB 2][rsc 0][Rx 0][sfn 723][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.583948] [gNB 3][rsc 0][Rx 0][sfn 723][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-29 10:20:31.589591] [gNB 0][rsc 0][Rx 0][sfn 724][slot 2] DL PRS ToA ==> -27.4 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -79.3 dBm

[2023-09-29 10:20:31.589947] [gNB 1][rsc 0][Rx 0][sfn 724][slot 3] DL PRS ToA ==> -27.5 / 4096 samples, peak channel power -63.6 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-29 10:20:31.590298] [gNB 2][rsc 0][Rx 0][sfn 724][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:20:31.590654] [gNB 3][rsc 0][Rx 0][sfn 724][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:20:31.596198] [gNB 0][rsc 0][Rx 0][sfn 725][slot 2] DL PRS ToA ==> -27.6 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -79.3 dBm

[2023-09-29 10:20:31.596548] [gNB 1][rsc 0][Rx 0][sfn 725][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 10:20:31.596957] [gNB 2][rsc 0][Rx 0][sfn 725][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.597313] [gNB 3][rsc 0][Rx 0][sfn 725][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:20:31.602910] [gNB 0][rsc 0][Rx 0][sfn 726][slot 2] DL PRS ToA ==> -27.9 / 4096 samples, peak channel power -58.6 dBm, SNR +4.0 dB, rsrp -78.8 dBm

[2023-09-29 10:20:31.603279] [gNB 1][rsc 0][Rx 0][sfn 726][slot 3] DL PRS ToA ==> -28.1 / 4096 samples, peak channel power -63.6 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-29 10:20:31.603632] [gNB 2][rsc 0][Rx 0][sfn 726][slot 4] DL PRS ToA ==> -28.6 / 4096 samples, peak channel power -61.0 dBm, SNR -2622080.2 dB, rsrp -80.7 dBm

[2023-09-29 10:20:31.604010] [gNB 3][rsc 0][Rx 0][sfn 726][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 10:20:31.609604] [gNB 0][rsc 0][Rx 0][sfn 727][slot 2] DL PRS ToA ==> -28.1 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -79.1 dBm

[2023-09-29 10:20:31.609967] [gNB 1][rsc 0][Rx 0][sfn 727][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-29 10:20:31.610314] [gNB 2][rsc 0][Rx 0][sfn 727][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.610670] [gNB 3][rsc 0][Rx 0][sfn 727][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:20:31.616196] [gNB 0][rsc 0][Rx 0][sfn 728][slot 2] DL PRS ToA ==> -29.4 / 4096 samples, peak channel power -58.6 dBm, SNR +4.0 dB, rsrp -79.4 dBm

[2023-09-29 10:20:31.616545] [gNB 1][rsc 0][Rx 0][sfn 728][slot 3] DL PRS ToA ==> -29.6 / 4096 samples, peak channel power -63.6 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 10:20:31.616895] [gNB 2][rsc 0][Rx 0][sfn 728][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.617247] [gNB 3][rsc 0][Rx 0][sfn 728][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-29 10:20:31.622898] [gNB 0][rsc 0][Rx 0][sfn 729][slot 2] DL PRS ToA ==> -28.6 / 4096 samples, peak channel power -58.7 dBm, SNR +4.0 dB, rsrp -79.2 dBm

[2023-09-29 10:20:31.623266] [gNB 1][rsc 0][Rx 0][sfn 729][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.0 dBm

[2023-09-29 10:20:31.623625] [gNB 2][rsc 0][Rx 0][sfn 729][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -80.6 dBm

[2023-09-29 10:20:31.624572] [gNB 3][rsc 0][Rx 0][sfn 729][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 10:20:31.629602] [gNB 0][rsc 0][Rx 0][sfn 730][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.4 dBm

[2023-09-29 10:20:31.629976] [gNB 1][rsc 0][Rx 0][sfn 730][slot 3] DL PRS ToA ==> -29.1 / 4096 samples, peak channel power -63.7 dBm, SNR +4.0 dB, rsrp -82.1 dBm

