[2023-09-29 11:15:53.534525] [gNB 1][rsc 0][Rx 0][sfn 898][slot 3] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -59.0 dBm, SNR +4.0 dB, rsrp -83.6 dBm

[2023-09-29 11:15:53.534839] [gNB 2][rsc 0][Rx 0][sfn 898][slot 4] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -54.6 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.535282] [gNB 3][rsc 0][Rx 0][sfn 898][slot 5] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -57.8 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:15:53.540865] [gNB 0][rsc 0][Rx 0][sfn 899][slot 2] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -56.7 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-29 11:15:53.541205] [gNB 1][rsc 0][Rx 0][sfn 899][slot 3] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -59.5 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 11:15:53.541638] [gNB 2][rsc 0][Rx 0][sfn 899][slot 4] DL PRS ToA ==> 2.5 / 4096 samples, peak channel power -50.4 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.541939] [gNB 3][rsc 0][Rx 0][sfn 899][slot 5] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -57.9 dBm, SNR +4.0 dB, rsrp -81.2 dBm

[2023-09-29 11:15:53.547574] [gNB 0][rsc 0][Rx 0][sfn 900][slot 2] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -56.7 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-29 11:15:53.547899] [gNB 1][rsc 0][Rx 0][sfn 900][slot 3] DL PRS ToA ==> 7.5 / 4096 samples, peak channel power -59.5 dBm, SNR -2622080.2 dB, rsrp -83.5 dBm

[2023-09-29 11:15:53.548206] [gNB 2][rsc 0][Rx 0][sfn 900][slot 4] DL PRS ToA ==> 2.0 / 4096 samples, peak channel power -52.0 dBm, SNR -2622080.2 dB, rsrp +nan dBm

