[2023-09-29 10:54:45.868044] [gNB 0][rsc 0][Rx 0][sfn 211][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.3 dBm

[2023-09-29 10:54:45.868558] [gNB 1][rsc 0][Rx 0][sfn 211][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.1 dBm

[2023-09-29 10:54:45.869047] [gNB 2][rsc 0][Rx 0][sfn 211][slot 4] DL PRS ToA ==> -3.0 / 2048 samples, peak channel power -47.4 dBm, SNR +4.0 dB, rsrp -79.4 dBm

[2023-09-29 10:54:45.869618] [gNB 3][rsc 0][Rx 0][sfn 211][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.7 dBm, SNR +4.0 dB, rsrp -68.5 dBm

[2023-09-29 10:54:45.878045] [gNB 0][rsc 0][Rx 0][sfn 212][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR -6753089.5 dB, rsrp -77.1 dBm

[2023-09-29 10:54:45.878592] [gNB 1][rsc 0][Rx 0][sfn 212][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.5 dBm

[2023-09-29 10:54:45.879085] [gNB 2][rsc 0][Rx 0][sfn 212][slot 4] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -46.8 dBm, SNR +4.0 dB, rsrp -74.5 dBm

[2023-09-29 10:54:45.879558] [gNB 3][rsc 0][Rx 0][sfn 212][slot 5] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -48.0 dBm, SNR +4.0 dB, rsrp -68.4 dBm

[2023-09-29 10:54:45.888060] [gNB 0][rsc 0][Rx 0][sfn 213][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.1 dBm

[2023-09-29 10:54:45.888559] [gNB 1][rsc 0][Rx 0][sfn 213][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.9 dBm

[2023-09-29 10:54:45.889072] [gNB 2][rsc 0][Rx 0][sfn 213][slot 4] DL PRS ToA ==> -2.0 / 2048 samples, peak channel power -47.2 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 10:54:45.889544] [gNB 3][rsc 0][Rx 0][sfn 213][slot 5] DL PRS ToA ==> -1.0 / 2048 samples, peak channel power -46.5 dBm, SNR +4.0 dB, rsrp -68.0 dBm

[2023-09-29 10:54:45.898045] [gNB 0][rsc 0][Rx 0][sfn 214][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -79.5 dBm

