[2023-09-28 19:05:42.433338] [gNB 3][rsc 0][Rx 0][sfn 169][slot 5] DL PRS ToA ==> 21.5 / 4096 samples, peak channel power -59.5 dBm, SNR -2622080.2 dB, rsrp -83.6 dBm

[2023-09-28 19:05:42.438605] [gNB 0][rsc 0][Rx 0][sfn 170][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.5 dBm

[2023-09-28 19:05:42.438977] [gNB 1][rsc 0][Rx 0][sfn 170][slot 3] DL PRS ToA ==> 20.5 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-28 19:05:42.439444] [gNB 2][rsc 0][Rx 0][sfn 170][slot 4] DL PRS ToA ==> 22.0 / 4096 samples, peak channel power -57.0 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-28 19:05:42.439964] [gNB 3][rsc 0][Rx 0][sfn 170][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.0 dBm

[2023-09-28 19:05:42.445211] [gNB 0][rsc 0][Rx 0][sfn 171][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -84.9 dBm

[2023-09-28 19:05:42.445617] [gNB 1][rsc 0][Rx 0][sfn 171][slot 3] DL PRS ToA ==> 23.5 / 4096 samples, peak channel power -59.5 dBm, SNR +4.0 dB, rsrp -82.3 dBm

[2023-09-28 19:05:42.446083] [gNB 2][rsc 0][Rx 0][sfn 171][slot 4] DL PRS ToA ==> 25.0 / 4096 samples, peak channel power -57.0 dBm, SNR -2622080.2 dB, rsrp -81.8 dBm

[2023-09-28 19:05:42.446597] [gNB 3][rsc 0][Rx 0][sfn 171][slot 5] DL PRS ToA ==> 24.0 / 4096 samples, peak channel power -59.4 dBm, SNR -2622080.2 dB, rsrp -83.5 dBm

[2023-09-28 19:05:42.451926] [gNB 0][rsc 0][Rx 0][sfn 172][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.6 dBm

[2023-09-28 19:05:42.452301] [gNB 1][rsc 0][Rx 0][sfn 172][slot 3] DL PRS ToA ==> 23.5 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-28 19:05:42.452751] [gNB 2][rsc 0][Rx 0][sfn 172][slot 4] DL PRS ToA ==> 25.0 / 4096 samples, peak channel power -56.7 dBm, SNR -2622080.2 dB, rsrp -82.1 dBm

[2023-09-28 19:05:42.453332] [gNB 3][rsc 0][Rx 0][sfn 172][slot 5] DL PRS ToA ==> 24.0 / 4096 samples, peak channel power -59.4 dBm, SNR -2622080.2 dB, rsrp -82.8 dBm

[2023-09-28 19:05:42.458620] [gNB 0][rsc 0][Rx 0][sfn 173][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.0 dBm

[2023-09-28 19:05:42.458999] [gNB 1][rsc 0][Rx 0][sfn 173][slot 3] DL PRS ToA ==> 26.5 / 4096 samples, peak channel power -59.9 dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

[2023-09-28 19:05:42.459466] [gNB 2][rsc 0][Rx 0][sfn 173][slot 4] DL PRS ToA ==> 28.0 / 4096 samples, peak channel power -57.0 dBm, SNR +4.0 dB, rsrp -81.2 dBm

[2023-09-28 19:05:42.459986] [gNB 3][rsc 0][Rx 0][sfn 173][slot 5] DL PRS ToA ==> 27.0 / 4096 samples, peak channel power -59.5 dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-28 19:05:42.465229] [gNB 0][rsc 0][Rx 0][sfn 174][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.2 dBm

[2023-09-28 19:05:42.465630] [gNB 1][rsc 0][Rx 0][sfn 174][slot 3] DL PRS ToA ==> 26.0 / 4096 samples, peak channel power -59.6 dBm, SNR -2622080.2 dB, rsrp -82.4 dBm

[2023-09-28 19:05:42.466013] [gNB 2][rsc 0][Rx 0][sfn 174][slot 4] DL PRS ToA ==> 27.5 / 4096 samples, peak channel power -57.2 dBm, SNR -2622080.2 dB, rsrp -81.7 dBm

[2023-09-28 19:05:42.466642] [gNB 3][rsc 0][Rx 0][sfn 174][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-28 19:05:42.471929] [gNB 0][rsc 0][Rx 0][sfn 175][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.4 dBm

[2023-09-28 19:05:42.472329] [gNB 1][rsc 0][Rx 0][sfn 175][slot 3] DL PRS ToA ==> 29.0 / 4096 samples, peak channel power -59.5 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-28 19:05:42.472776] [gNB 2][rsc 0][Rx 0][sfn 175][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.1 dBm

[2023-09-28 19:05:42.473279] [gNB 3][rsc 0][Rx 0][sfn 175][slot 5] DL PRS ToA ==> 29.5 / 4096 samples, peak channel power -59.5 dBm, SNR +4.0 dB, rsrp -81.4 dBm

[2023-09-28 19:05:42.478542] [gNB 0][rsc 0][Rx 0][sfn 176][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.6 dBm

[2023-09-28 19:05:42.478939] [gNB 1][rsc 0][Rx 0][sfn 176][slot 3] DL PRS ToA ==> 29.0 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-28 19:05:42.479390] [gNB 2][rsc 0][Rx 0][sfn 176][slot 4] DL PRS ToA ==> 30.5 / 4096 samples, peak channel power -56.9 dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

[2023-09-28 19:05:42.479912] [gNB 3][rsc 0][Rx 0][sfn 176][slot 5] DL PRS ToA ==> 29.5 / 4096 samples, peak channel power -59.4 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

