[2023-09-29 10:12:46.046735] [gNB 3][rsc 0][Rx 0][sfn 315][slot 5] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:12:46.052422] [gNB 0][rsc 0][Rx 0][sfn 316][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -52.4 dBm, SNR +4.0 dB, rsrp -78.6 dBm

[2023-09-29 10:12:46.052765] [gNB 1][rsc 0][Rx 0][sfn 316][slot 3] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -60.3 dBm, SNR -2622080.2 dB, rsrp -82.8 dBm

[2023-09-29 10:12:46.053052] [gNB 2][rsc 0][Rx 0][sfn 316][slot 4] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp -80.2 dBm

[2023-09-29 10:12:46.053455] [gNB 3][rsc 0][Rx 0][sfn 316][slot 5] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -59.0 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:12:46.059022] [gNB 0][rsc 0][Rx 0][sfn 317][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -52.3 dBm, SNR -2622080.2 dB, rsrp -79.0 dBm

[2023-09-29 10:12:46.059361] [gNB 1][rsc 0][Rx 0][sfn 317][slot 3] DL PRS ToA ==> -6.0 / 4096 samples, peak channel power -60.6 dBm, SNR -2622080.2 dB, rsrp -82.8 dBm

[2023-09-29 10:12:46.059696] [gNB 2][rsc 0][Rx 0][sfn 317][slot 4] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -54.5 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:12:46.060040] [gNB 3][rsc 0][Rx 0][sfn 317][slot 5] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -58.8 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 10:12:46.065750] [gNB 0][rsc 0][Rx 0][sfn 318][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -52.4 dBm, SNR -2622080.2 dB, rsrp -79.2 dBm

[2023-09-29 10:12:46.066059] [gNB 1][rsc 0][Rx 0][sfn 318][slot 3] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -60.6 dBm, SNR +4.0 dB, rsrp -82.7 dBm

[2023-09-29 10:12:46.066400] [gNB 2][rsc 0][Rx 0][sfn 318][slot 4] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -54.5 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:12:46.066737] [gNB 3][rsc 0][Rx 0][sfn 318][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.0 dBm

[2023-09-29 10:12:46.072334] [gNB 0][rsc 0][Rx 0][sfn 319][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -52.2 dBm, SNR -2622080.2 dB, rsrp -78.9 dBm

[2023-09-29 10:12:46.072673] [gNB 1][rsc 0][Rx 0][sfn 319][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 10:12:46.073036] [gNB 2][rsc 0][Rx 0][sfn 319][slot 4] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -54.4 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:12:46.073442] [gNB 3][rsc 0][Rx 0][sfn 319][slot 5] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -59.1 dBm, SNR +4.0 dB, rsrp -82.8 dBm

[2023-09-29 10:12:46.079032] [gNB 0][rsc 0][Rx 0][sfn 320][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -52.4 dBm, SNR +4.0 dB, rsrp -78.8 dBm

[2023-09-29 10:12:46.079374] [gNB 1][rsc 0][Rx 0][sfn 320][slot 3] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -60.3 dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

[2023-09-29 10:12:46.079708] [gNB 2][rsc 0][Rx 0][sfn 320][slot 4] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -54.6 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:12:46.080167] [gNB 3][rsc 0][Rx 0][sfn 320][slot 5] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -58.8 dBm, SNR -2622080.2 dB, rsrp -83.0 dBm

[2023-09-29 10:12:46.086244] [gNB 0][rsc 0][Rx 0][sfn 321][slot 2] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -52.6 dBm, SNR +4.0 dB, rsrp -78.9 dBm

