[2023-09-28 16:56:54.896295] [gNB 1][rsc 0][Rx 0][sfn 383][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -79.5 dBm

[2023-09-28 16:56:54.896780] [gNB 2][rsc 0][Rx 0][sfn 383][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.2 dBm, SNR +4.0 dB, rsrp -75.3 dBm

[2023-09-28 16:56:54.897298] [gNB 3][rsc 0][Rx 0][sfn 383][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.6 dBm, SNR +4.0 dB, rsrp -76.3 dBm

[2023-09-28 16:56:54.905790] [gNB 0][rsc 0][Rx 0][sfn 384][slot 2] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -48.9 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.906301] [gNB 1][rsc 0][Rx 0][sfn 384][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.2 dBm

[2023-09-28 16:56:54.906830] [gNB 2][rsc 0][Rx 0][sfn 384][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.3 dBm, SNR +4.0 dB, rsrp -74.1 dBm

[2023-09-28 16:56:54.907277] [gNB 3][rsc 0][Rx 0][sfn 384][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.6 dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-28 16:56:54.915793] [gNB 0][rsc 0][Rx 0][sfn 385][slot 2] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -49.0 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.916274] [gNB 1][rsc 0][Rx 0][sfn 385][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.0 dBm

[2023-09-28 16:56:54.916796] [gNB 2][rsc 0][Rx 0][sfn 385][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.1 dBm, SNR +4.0 dB, rsrp -75.6 dBm

[2023-09-28 16:56:54.917281] [gNB 3][rsc 0][Rx 0][sfn 385][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.4 dBm

[2023-09-28 16:56:54.925808] [gNB 0][rsc 0][Rx 0][sfn 386][slot 2] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -48.1 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.926285] [gNB 1][rsc 0][Rx 0][sfn 386][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.0 dBm

[2023-09-28 16:56:54.926802] [gNB 2][rsc 0][Rx 0][sfn 386][slot 4] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -51.4 dBm, SNR +4.0 dB, rsrp -73.9 dBm

[2023-09-28 16:56:54.927326] [gNB 3][rsc 0][Rx 0][sfn 386][slot 5] DL PRS ToA ==> 3.0 / 2048 samples, peak channel power -52.7 dBm, SNR +4.0 dB, rsrp -75.6 dBm

[2023-09-28 16:56:54.935810] [gNB 0][rsc 0][Rx 0][sfn 387][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -46.1 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.936288] [gNB 1][rsc 0][Rx 0][sfn 387][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -80.1 dBm

[2023-09-28 16:56:54.936778] [gNB 2][rsc 0][Rx 0][sfn 387][slot 4] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -50.8 dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-28 16:56:54.937338] [gNB 3][rsc 0][Rx 0][sfn 387][slot 5] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -52.5 dBm, SNR +4.0 dB, rsrp -76.6 dBm

[2023-09-28 16:56:54.945783] [gNB 0][rsc 0][Rx 0][sfn 388][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -46.2 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 16:56:54.946296] [gNB 1][rsc 0][Rx 0][sfn 388][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -78.2 dBm

[2023-09-28 16:56:54.946782] [gNB 2][rsc 0][Rx 0][sfn 388][slot 4] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -51.4 dBm, SNR +4.0 dB, rsrp -74.1 dBm

[2023-09-28 16:56:54.947304] [gNB 3][rsc 0][Rx 0][sfn 388][slot 5] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -52.8 dBm, SNR +4.0 dB, rsrp -75.7 dBm

