[2023-09-28 17:11:45.222832] [gNB 3][rsc 0][Rx 0][sfn 1005][slot 5] DL PRS ToA ==> 10.0 / 4096 samples, peak channel power -54.1 dBm, SNR -2622080.2 dB, rsrp -79.5 dBm

[2023-09-28 17:11:45.228061] [gNB 0][rsc 0][Rx 0][sfn 1006][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.1 dB, rsrp -83.9 dBm

[2023-09-28 17:11:45.228524] [gNB 1][rsc 0][Rx 0][sfn 1006][slot 3] DL PRS ToA ==> 14.0 / 4096 samples, peak channel power -60.4 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 17:11:45.229028] [gNB 2][rsc 0][Rx 0][sfn 1006][slot 4] DL PRS ToA ==> 11.0 / 4096 samples, peak channel power -55.1 dBm, SNR -2622080.2 dB, rsrp -80.4 dBm

[2023-09-28 17:11:45.229564] [gNB 3][rsc 0][Rx 0][sfn 1006][slot 5] DL PRS ToA ==> 10.0 / 4096 samples, peak channel power -53.8 dBm, SNR -2622080.2 dB, rsrp -79.4 dBm

[2023-09-28 17:11:45.234759] [gNB 0][rsc 0][Rx 0][sfn 1007][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.2 dBm

[2023-09-28 17:11:45.235208] [gNB 1][rsc 0][Rx 0][sfn 1007][slot 3] DL PRS ToA ==> 16.0 / 4096 samples, peak channel power -59.1 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 17:11:45.235716] [gNB 2][rsc 0][Rx 0][sfn 1007][slot 4] DL PRS ToA ==> 14.0 / 4096 samples, peak channel power -55.0 dBm, SNR -2622080.2 dB, rsrp -80.8 dBm

[2023-09-28 17:11:45.236143] [gNB 3][rsc 0][Rx 0][sfn 1007][slot 5] DL PRS ToA ==> 12.0 / 4096 samples, peak channel power -56.4 dBm, SNR +4.0 dB, rsrp -79.6 dBm

[2023-09-28 17:11:45.241369] [gNB 0][rsc 0][Rx 0][sfn 1008][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.2 dBm

[2023-09-28 17:11:45.241816] [gNB 1][rsc 0][Rx 0][sfn 1008][slot 3] DL PRS ToA ==> 16.0 / 4096 samples, peak channel power -58.1 dBm, SNR -2622080.2 dB, rsrp -84.0 dBm

[2023-09-28 17:11:45.242329] [gNB 2][rsc 0][Rx 0][sfn 1008][slot 4] DL PRS ToA ==> 13.0 / 4096 samples, peak channel power -56.3 dBm, SNR +4.0 dB, rsrp -79.8 dBm

[2023-09-28 17:11:45.242765] [gNB 3][rsc 0][Rx 0][sfn 1008][slot 5] DL PRS ToA ==> 13.0 / 4096 samples, peak channel power -55.5 dBm, SNR +4.0 dB, rsrp -79.4 dBm

[2023-09-28 17:11:45.248072] [gNB 0][rsc 0][Rx 0][sfn 1009][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.1 dBm

[2023-09-28 17:11:45.248535] [gNB 1][rsc 0][Rx 0][sfn 1009][slot 3] DL PRS ToA ==> 19.0 / 4096 samples, peak channel power -58.5 dBm, SNR +4.0 dB, rsrp -83.5 dBm

[2023-09-28 17:11:45.249034] [gNB 2][rsc 0][Rx 0][sfn 1009][slot 4] DL PRS ToA ==> 16.0 / 4096 samples, peak channel power -54.0 dBm, SNR +4.0 dB, rsrp -80.5 dBm

[2023-09-28 17:11:45.249460] [gNB 3][rsc 0][Rx 0][sfn 1009][slot 5] DL PRS ToA ==> 15.0 / 4096 samples, peak channel power -58.1 dBm, SNR -2622080.2 dB, rsrp -79.5 dBm

[2023-09-28 17:11:45.254773] [gNB 0][rsc 0][Rx 0][sfn 1010][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -86.3 dBm

[2023-09-28 17:11:45.255224] [gNB 1][rsc 0][Rx 0][sfn 1010][slot 3] DL PRS ToA ==> 18.0 / 4096 samples, peak channel power -60.9 dBm, SNR +4.0 dB, rsrp -82.6 dBm

[2023-09-28 17:11:45.255772] [gNB 2][rsc 0][Rx 0][sfn 1010][slot 4] DL PRS ToA ==> 16.0 / 4096 samples, peak channel power -53.0 dBm, SNR -2622080.2 dB, rsrp -80.4 dBm

[2023-09-28 17:11:45.256192] [gNB 3][rsc 0][Rx 0][sfn 1010][slot 5] DL PRS ToA ==> 14.0 / 4096 samples, peak channel power -54.8 dBm, SNR -2622080.2 dB, rsrp -79.5 dBm

