[2023-09-28 15:09:57.942028] [gNB 2][rsc 0][Rx 0][sfn 60][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -58.4 dBm, SNR +4.0 dB, rsrp -77.9 dBm

[2023-09-28 15:09:57.942551] [gNB 3][rsc 0][Rx 0][sfn 60][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.3 dBm

[2023-09-28 15:09:57.951031] [gNB 0][rsc 0][Rx 0][sfn 61][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -74.6 dBm

[2023-09-28 15:09:57.951548] [gNB 1][rsc 0][Rx 0][sfn 61][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.4 dBm

[2023-09-28 15:09:57.952033] [gNB 2][rsc 0][Rx 0][sfn 61][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.5 dBm

[2023-09-28 15:09:57.952560] [gNB 3][rsc 0][Rx 0][sfn 61][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.0 dBm

[2023-09-28 15:09:57.961048] [gNB 0][rsc 0][Rx 0][sfn 62][slot 2] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.8 dBm, SNR +4.0 dB, rsrp -76.3 dBm

[2023-09-28 15:09:57.961562] [gNB 1][rsc 0][Rx 0][sfn 62][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.7 dBm

[2023-09-28 15:09:57.962054] [gNB 2][rsc 0][Rx 0][sfn 62][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -58.5 dBm, SNR +4.0 dB, rsrp -77.9 dBm

[2023-09-28 15:09:57.962539] [gNB 3][rsc 0][Rx 0][sfn 62][slot 5] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.3 dBm

[2023-09-28 15:09:57.971053] [gNB 0][rsc 0][Rx 0][sfn 63][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -74.7 dBm

[2023-09-28 15:09:57.971536] [gNB 1][rsc 0][Rx 0][sfn 63][slot 3] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -51.6 dBm, SNR +4.0 dB, rsrp -72.3 dBm

[2023-09-28 15:09:57.972054] [gNB 2][rsc 0][Rx 0][sfn 63][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -58.9 dBm, SNR +4.0 dB, rsrp -76.6 dBm

