[2023-09-28 15:44:46.517017] [gNB 1][rsc 0][Rx 0][sfn 411][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -84.8 dBm

[2023-09-28 15:44:46.517409] [gNB 2][rsc 0][Rx 0][sfn 411][slot 4] DL PRS ToA ==> 44.0 / 4096 samples, peak channel power -55.9 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.517787] [gNB 3][rsc 0][Rx 0][sfn 411][slot 5] DL PRS ToA ==> 44.0 / 4096 samples, peak channel power -54.2 dBm, SNR -3298746.0 dB, rsrp -78.0 dBm

[2023-09-28 15:44:46.523282] [gNB 0][rsc 0][Rx 0][sfn 412][slot 2] DL PRS ToA ==> 41.0 / 4096 samples, peak channel power -53.3 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.523727] [gNB 1][rsc 0][Rx 0][sfn 412][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -84.8 dBm

[2023-09-28 15:44:46.524101] [gNB 2][rsc 0][Rx 0][sfn 412][slot 4] DL PRS ToA ==> 44.0 / 4096 samples, peak channel power -54.1 dBm, SNR -3298746.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.524479] [gNB 3][rsc 0][Rx 0][sfn 412][slot 5] DL PRS ToA ==> 44.0 / 4096 samples, peak channel power -54.5 dBm, SNR +4.0 dB, rsrp -78.0 dBm

[2023-09-28 15:44:46.529940] [gNB 0][rsc 0][Rx 0][sfn 413][slot 2] DL PRS ToA ==> 50.0 / 4096 samples, peak channel power -52.8 dBm, SNR -3298746.0 dB, rsrp -74.1 dBm

[2023-09-28 15:44:46.530320] [gNB 1][rsc 0][Rx 0][sfn 413][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -85.0 dBm

[2023-09-28 15:44:46.530695] [gNB 2][rsc 0][Rx 0][sfn 413][slot 4] DL PRS ToA ==> 1072.0 / 4096 samples, peak channel power -53.7 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-28 15:44:46.531136] [gNB 3][rsc 0][Rx 0][sfn 413][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -3298746.0 dB, rsrp -78.0 dBm

[2023-09-28 15:44:46.536644] [gNB 0][rsc 0][Rx 0][sfn 414][slot 2] DL PRS ToA ==> 50.0 / 4096 samples, peak channel power -54.6 dBm, SNR -3298746.0 dB, rsrp -74.4 dBm

