[2023-09-28 19:02:17.238939] [gNB 3][rsc 0][Rx 0][sfn 41][slot 5] DL PRS ToA ==> 20.0 / 4096 samples, peak channel power -56.5 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-28 19:02:17.243620] [gNB 0][rsc 0][Rx 0][sfn 42][slot 2] DL PRS ToA ==> 18.0 / 4096 samples, peak channel power -59.2 dBm, SNR +4.0 dB, rsrp -76.4 dBm

[2023-09-28 19:02:17.244291] [gNB 1][rsc 0][Rx 0][sfn 42][slot 3] DL PRS ToA ==> 19.0 / 4096 samples, peak channel power -57.2 dBm, SNR -2622080.2 dB, rsrp -82.4 dBm

[2023-09-28 19:02:17.244916] [gNB 2][rsc 0][Rx 0][sfn 42][slot 4] DL PRS ToA ==> 21.0 / 4096 samples, peak channel power -55.3 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-28 19:02:17.245543] [gNB 3][rsc 0][Rx 0][sfn 42][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.7 dBm

[2023-09-28 19:02:17.250314] [gNB 0][rsc 0][Rx 0][sfn 43][slot 2] DL PRS ToA ==> 21.0 / 4096 samples, peak channel power -52.5 dBm, SNR +4.0 dB, rsrp -76.3 dBm

[2023-09-28 19:02:17.250984] [gNB 1][rsc 0][Rx 0][sfn 43][slot 3] DL PRS ToA ==> 22.0 / 4096 samples, peak channel power -56.5 dBm, SNR -2622080.2 dB, rsrp -82.5 dBm

[2023-09-28 19:02:17.251617] [gNB 2][rsc 0][Rx 0][sfn 43][slot 4] DL PRS ToA ==> 24.0 / 4096 samples, peak channel power -55.4 dBm, SNR +4.0 dB, rsrp -81.8 dBm

[2023-09-28 19:02:17.252230] [gNB 3][rsc 0][Rx 0][sfn 43][slot 5] DL PRS ToA ==> 23.0 / 4096 samples, peak channel power -57.2 dBm, SNR +4.0 dB, rsrp -83.1 dBm

[2023-09-28 19:02:17.256944] [gNB 0][rsc 0][Rx 0][sfn 44][slot 2] DL PRS ToA ==> 22.0 / 4096 samples, peak channel power -55.2 dBm, SNR -2622080.2 dB, rsrp -76.4 dBm

[2023-09-28 19:02:17.257616] [gNB 1][rsc 0][Rx 0][sfn 44][slot 3] DL PRS ToA ==> 22.0 / 4096 samples, peak channel power -56.5 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-28 19:02:17.258239] [gNB 2][rsc 0][Rx 0][sfn 44][slot 4] DL PRS ToA ==> 23.0 / 4096 samples, peak channel power -54.8 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-28 19:02:17.258893] [gNB 3][rsc 0][Rx 0][sfn 44][slot 5] DL PRS ToA ==> 22.0 / 4096 samples, peak channel power -57.6 dBm, SNR -2622080.2 dB, rsrp -83.6 dBm

[2023-09-28 19:02:17.263624] [gNB 0][rsc 0][Rx 0][sfn 45][slot 2] DL PRS ToA ==> 24.0 / 4096 samples, peak channel power -56.0 dBm, SNR -2622080.2 dB, rsrp -76.7 dBm

[2023-09-28 19:02:17.264295] [gNB 1][rsc 0][Rx 0][sfn 45][slot 3] DL PRS ToA ==> 25.0 / 4096 samples, peak channel power -58.4 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-28 19:02:17.264928] [gNB 2][rsc 0][Rx 0][sfn 45][slot 4] DL PRS ToA ==> 26.0 / 4096 samples, peak channel power -53.8 dBm, SNR -2622080.2 dB, rsrp -82.2 dBm

[2023-09-28 19:02:17.265575] [gNB 3][rsc 0][Rx 0][sfn 45][slot 5] DL PRS ToA ==> 25.0 / 4096 samples, peak channel power -56.4 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-28 19:02:17.270276] [gNB 0][rsc 0][Rx 0][sfn 46][slot 2] DL PRS ToA ==> 23.0 / 4096 samples, peak channel power -54.2 dBm, SNR +4.0 dB, rsrp -76.3 dBm

[2023-09-28 19:02:17.270932] [gNB 1][rsc 0][Rx 0][sfn 46][slot 3] DL PRS ToA ==> 23.0 / 4096 samples, peak channel power -57.0 dBm, SNR -2622080.2 dB, rsrp -82.3 dBm

[2023-09-28 19:02:17.271561] [gNB 2][rsc 0][Rx 0][sfn 46][slot 4] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.3 dBm

[2023-09-28 19:02:17.272194] [gNB 3][rsc 0][Rx 0][sfn 46][slot 5] DL PRS ToA ==> 24.0 / 4096 samples, peak channel power -56.4 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-28 19:02:17.276941] [gNB 0][rsc 0][Rx 0][sfn 47][slot 2] DL PRS ToA ==> 27.0 / 4096 samples, peak channel power -55.8 dBm, SNR +4.0 dB, rsrp -76.3 dBm

[2023-09-28 19:02:17.277613] [gNB 1][rsc 0][Rx 0][sfn 47][slot 3] DL PRS ToA ==> 27.0 / 4096 samples, peak channel power -56.3 dBm, SNR +4.0 dB, rsrp -80.7 dBm

